id,tokens,ner_tags
68428,"['Sierra', 'Blanca', 'Peak', 'dominates', 'the', 'range', 'and', 'can', 'be', 'seen', 'for', 'many', 'miles', ',', 'particularly', 'within', 'the', 'Tularosa', 'Basin', '.']","[1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
28845,"['H.', 'Lavity', 'Stoutt', 'won', 'the', 'most', 'general', 'elections', 'of', 'any', 'leader', '(', 'he', 'won', 'five', ')', ',', 'followed', 'by', 'Orlando', 'Smith', '(', 'three', ')', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
81950,"['For', 'many', 'Indigenous', 'people', ',', 'the', 'Buffalo', 'is', 'not', 'sleeping', 'anymore', 'since', 'Banff', 'National', 'Park', 'reintroduced', 'wild', 'bison', 'in', '2017', '.']","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
58898,"['Gan', 'was', 'a', 'Red', 'Guard', 'in', 'the', 'early', 'years', 'of', 'the', 'Cultural', 'Revolution', ',', 'but', 'became', 'disillusioned', 'with', 'the', 'movement', 'and', 'was', 'sent', 'to', 'labour', 'in', 'the', 'Greater', 'Khingan', 'Mountains', 'in', '1970', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0]"
129557,"['This', 'minor', 'road', 'also', 'provides', 'the', 'closest', 'access', 'to', 'the', 'mountain', 'Aran', 'Fawddwy', 'and', 'is', 'the', 'nearest', 'settlement', 'to', 'Craig', 'Cywarch', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
12966,"['In', 'addition', ',', 'the', 'papal', 'library', 'housed', 'in', 'the', 'Palais', '(', 'the', 'largest', 'in', 'Europe', 'at', 'the', 'time', 'with', 'over', '2,000', 'volumes', ')', ',', 'attracted', 'a', 'group', 'of', 'clerics', 'passionate', 'in', 'the', 'study', 'of', '``', 'belles-lettres', ""''"", ',', 'amongst', 'them', 'the', 'founder', 'of', 'humanism', ',', 'Petrarch', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
24561,"['The', 'flag', 'flying', 'on', 'top', 'of', 'Mount', 'Suribachi', 'that', 'Hayes', 'helped', 'raise', 'was', 'taken', 'down', '.']","[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
13172,"['However', ',', 'Hoodoo', 'Mountain', 'does', 'not', 'fit', 'the', 'normal', 'tuya', 'model', 'because', 'of', 'its', 'complex', 'layering', 'of', 'rocks', ',', 'although', 'Hoodoo', ""'s"", 'unusual', 'structure', 'obviously', 'results', 'from', 'frequent', 'interactions', 'between', 'volcanic', 'activity', 'and', 'Pleistocene', 'ice', 'sheets', 'over', 'the', 'past', '100,000', 'years', '.']","[0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
105860,"['Parícutin', 'in', 'Mexico', ',', 'Diamond', 'Head', ',', 'Koko', 'Head', ',', 'Punchbowl', 'Crater', 'and', 'some', 'cinder', 'cones', 'on', 'Mauna', 'Kea', 'are', 'monogenetic', 'cinder', 'cones', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0]"
126243,"['It', 'continues', 'by', 'ascending', 'over', 'the', 'Curlew', 'Mountains', 'before', 'descending', 'into', 'Boyle', 'from', 'the', 'west', '.']","[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
114198,"['She', 'won', 'the', 'Forward', 'Poetry', 'Prize', 'for', 'Best', 'Single', 'Poem', ',', '``', 'Joy', '``', 'in', '2016', 'and', 'a', 'Cholmondeley', 'Award', 'in', '2017', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
48360,"['The', 'tree', 'is', 'one', 'of', 'dozens', 'of', 'similar', 'height', 'in', 'the', 'grove', ',', 'and', 'was', 'never', 'specifically', 'marked', 'in', 'order', 'to', 'protect', 'the', 'tree', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
71480,"['He', 'was', 'also', 'the', 'Vice-President', 'of', 'the', 'WHO', 'Framework', 'Convention', 'on', 'Tobacco', 'Control', '(', 'FCTC', ')', 'representing', 'the', 'WHO', 'South-East', 'Asia', 'Region', 'from', '2010', 'to', '2012', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
24421,"['The', 'lower', 'part', 'of', 'Bradfield', 'Dale', 'was', 'the', 'first', 'area', 'to', 'be', 'inundated', 'by', 'the', 'Great', 'Sheffield', 'Flood', 'of', '1864', '.']","[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
105009,"['Patients', 'should', 'therefore', 'always', 'be', 'screened', 'for', 'G6PD', 'deficiency', 'prior', 'to', 'being', 'prescribed', 'pamaquine', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
68151,"['Jay-Z', 'explains', 'the', 'stresses', 'of', 'the', 'rap', 'industry', 'and', 'the', 'celebrity', 'life', ',', 'while', 'also', 'trying', 'to', 'put', 'it', 'in', 'perspective', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
43016,"['The', 'thunderstorms', 'developed', 'further', 'as', 'they', 'moved', 'over', 'the', 'slopes', 'of', 'Mauna', 'Kea', 'and', 'Kohala', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0]"
15180,"['This', 'represents', '73', '%', 'of', 'adult', 'internet', 'users', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0]"
129762,"['Craigleith', 'Quarry', 'was', 'active', 'for', 'more', 'than', '300', 'years', 'from', '1615', 'to', '1942', '.']","[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
89841,"['EvCC', 'historically', 'names', 'its', 'buildings', 'after', 'peaks', 'of', 'the', 'Cascade', 'and', 'Olympic', 'mountains', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0]"
28527,"['Belknap', ""'s"", 'volcanic', 'deposits', 'have', 'well-preserved', 'pressure', 'ridges', '(', 'tumuli', ')', 'and', 'levees', 'on', 'their', 'surfaces', ',', 'and', 'they', 'were', 'emplaced', 'between', '7,000', 'and', '1,300', 'years', 'ago', '.']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
60895,"['This', 'coincides', 'with', 'the', 'peak', 'of', 'activity', 'in', 'other', 'Kamchatka', 'volcanoes', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
96530,"['1st-millennium', 'BC', 'Assyrian', 'texts', 'mention', 'Baʿal', 'Zaphon', 'as', 'the', 'name', 'of', 'the', 'mountain', 'itself', '.']","[0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
80164,"['A', 'peak', 'in', 'the', 'West-Central', 'Alaska', 'Range', 'is', 'also', 'named', 'in', 'his', 'honor', '.']","[0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]"
73427,"['vol', '.']","[0, 0]"
4242,"['Basking', 'in', 'the', 'shadow', 'of', 'Chief', 'Mountain', 'and', 'the', 'Canadian', 'Rockies', 'range', ',', 'the', 'hamlet', 'of', 'Leavitt', 'is', 'located', 'in', 'a', 'valley', 'of', 'rolling', 'hills', 'only', 'kilometres', 'from', 'the', 'U.S', '.', '-', 'Canada', 'border', '.']","[0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
121257,"['Mount', 'Downton', 'was', 'named', 'for', 'Geoffrey', 'M.', 'Downton', ',', 'British', 'Columbia', 'Land', 'Surveyor', ',', 'for', 'whom', 'Downton', 'Lake', ',', 'the', 'reservoir', 'behind', 'Lajoie', 'Dam', 'in', 'the', 'Bridge', 'River', 'Power', 'Project', 'is', 'also', 'named', '.']","[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
49376,"['The', 'northern', 'outskirts', 'of', 'the', 'village', 'adjoin', 'a', 'chalk', 'mountain', 'slope', 'named', 'Zmiyina', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
75,"['Though', 'only', 'in', 'length', ',', 'The', 'Salamander', 'Glacier', 'is', 'about', 'wide', '.']","[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]"
39167,"['The', 'Burzenland', 'lies', 'within', 'the', 'Southern', 'Carpathians', 'mountains', 'ranges', ',', 'bordered', 'approximately', 'by', 'Apața', 'in', 'the', 'north', ',', 'Bran', 'in', 'the', 'southwest', 'and', 'Prejmer', 'in', 'the', 'east', '.']","[0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
69042,"['In', 'October', '1934', 'a', 'De', 'Havilland', 'Moth', 'plane', 'crashed', 'on', 'Burbage', 'Edge', 'in', 'heavy', 'mist', ',', 'while', 'struggling', 'with', 'strong', 'winds', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
66959,"['Rannerdale', 'Knotts', 'is', 'often', 'ascended', 'from', 'Buttermere', ',', 'making', 'use', 'of', 'the', 'good', 'path', 'going', 'up', 'Whiteless', 'Pike', ',', 'before', 'turning', 'west', 'north-west', 'along', 'Low', 'Bank', 'at', 'the', 'col', 'at', '950', 'feet', '.']","[1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
41291,"['The', 'area', 'is', 'southwest', 'in', 'the', 'larger', 'mountain', 'range', 'Jotunheimen', 'and', 'is', 'also', 'part', 'of', 'Jotunheimen', 'National', 'Park', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
103890,"['The', 'mountain', ""'s"", 'north', 'ridge', 'terminates', 'at', 'Outpost', 'Peak', '.']","[0, 0, 0, 0, 0, 0, 0, 1, 1, 0]"
106726,"['After', 'the', 'capitulation', 'of', 'the', 'German', 'Empire', ',', 'Mattenklott', 'was', 'retained', 'in', 'the', 'Reichsheer', 'of', 'the', 'Weimar', 'Republic', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
122693,"['The', 'AN', 'connected', 'with', 'the', 'Class', 'I', 'CSX', 'Transportation', 'at', 'Chattahoochee', ',', 'Florida', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
122821,"['They', 'consequently', 'distinguish', 'him', 'entirely', 'from', 'king', 'Heqakheperre', 'Shoshenq', 'II', 'at', 'Tanis', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
37562,"['The', 'Slieve', 'Bloom', 'Mountains', 'lie', 'southwest', 'of', 'the', 'village', '.']","[1, 1, 1, 1, 0, 0, 0, 0, 0, 0]"
86889,"['In', 'Irish', 'mythology', ',', 'the', 'Donn', 'Cuailnge', 'plays', 'a', 'central', 'role', 'in', 'the', 'epic', '``', 'Táin', 'Bó', 'Cúailnge', '``', '(', '``', 'The', 'Cattle', 'Raid', 'of', 'Cooley', '``', ')', ',', 'which', 'features', 'the', 'hero', 'Cú', 'Chulainn', ',', 'which', 'were', 'collected', 'in', 'the', 'seventh', 'century', '``', 'Lebor', 'na', 'hUidre', '``', '(', '``', 'Book', 'of', 'the', 'Dun', 'Cow', '``', ')', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
3513,"['Hispar', 'Glacier', '(', ')', 'is', 'a', 'long', 'glacier', 'in', 'the', 'Karakoram', 'Mountains', 'of', 'Gilgit', '–', 'Baltistan', ',', 'Pakistan', 'which', 'meets', 'the', 'long', 'Biafo', 'Glacier', 'at', 'the', 'Hispar', 'La', '(', 'Pass', ')', 'at', 'an', 'altitude', 'of', 'to', 'create', 'the', 'world', ""'s"", 'longest', 'glacial', 'system', 'outside', 'of', 'the', 'polar', 'regions', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
83282,"['Catharine', 'is', 'located', 'at', '(', '38.9272337', ',', '-99.2167660', ')', 'at', 'an', 'elevation', 'of', '2,014', 'feet', '(', '614', 'm', ')', '.']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
55596,"['International', 'Union', 'of', 'Pure', 'and', 'Applied', 'Chemistry', '(', 'IUPAC', ')', 'has', 'published', 'four', 'sets', 'of', 'rules', 'to', 'standardize', 'chemical', 'nomenclature', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
112132,"['Since', '1968', ',', 'the', 'excavations', 'carried', 'out', 'by', 'archaeologists', 'Enrico', 'Atzeni', 'and', 'Gérard', 'Bailloud', 'in', 'a', 'rock', 'shelter', 'on', 'the', 'limestone', 'hills', 'in', 'the', 'territory', 'of', 'Sirri', 'called', '``', 'Su', 'Carroppu', '``', ',', 'found', 'various', 'coarse', 'ceramics', 'of', 'a', 'black-grey', 'color', 'decorated', 'with', 'the', 'imprint', 'of', 'Cerastoderma', 'edule', 'along', 'with', 'tools', 'made', 'of', 'obsidian', 'from', 'the', 'Monte', 'Arci', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0]"
102693,"['Another', 'granite', 'mass', 'forms', 'the', 'main', 'part', 'of', 'Lone', 'Mountain', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0]"
103422,"['Included', 'within', 'the', 'definition', 'of', 'the', 'Chilcotin', 'Plateau', 'are', 'the', 'Rainbow', 'Range', ',', 'near', 'Bella', 'Coola', 'and', 'the', 'similarly', 'volcanic', 'Ilgachuz', 'Range', 'and', 'Itcha', 'Range', 'both', 'of', 'which', 'are', 'major', 'shield', 'volcanoes', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
10480,"['Canyon', 'de', 'Chelly', 'is', 'one', 'of', 'the', 'most', 'visited', 'national', 'monuments', 'in', 'the', 'United', 'States', '.']","[1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
56948,"['He', 'established', 'garrisons', ',', 'such', 'as', 'Philetaireia', ',', 'in', 'the', 'north', 'at', 'the', 'foot', 'of', 'Mount', 'Ida', ',', 'which', 'was', 'named', 'after', 'his', 'adoptive', 'father', ',', 'and', 'Attaleia', ',', 'in', 'the', 'east', ',', 'to', 'the', 'northeast', 'of', 'Thyatira', 'near', 'the', 'sources', 'of', 'the', 'river', 'Lycus', ',', 'which', 'was', 'named', 'after', 'his', 'grandfather', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
70903,"['Other', 'mountains', 'on', 'the', 'eastern', 'side', 'of', 'Langjökull', 'are', 'Fjallkirkja', '(', ')', ',', 'Þursaborg', '(', ')', 'and', 'Péturshorn', '(', ')', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
4161,"['His', 'companies', 'are', 'dedicated', 'to', 'the', 'development', 'and', 'production', 'of', 'international', 'documentaries', 'and', 'co-productions', 'for', 'television', 'high', 'quality', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
104829,"['WIVK', 'operates', 'a', '91,000-watt', 'transmitter', 'located', 'at', 'Greentop', 'Knob', 'on', 'Chilhowee', 'Mountain', 'near', 'Pigeon', 'Forge', ',', 'Tennessee', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]"
78452,"['The', 'Whitetop', 'Mountain', 'wildarea', 'is', 'covered', 'by', 'USGS', 'topographic', 'maps', '``', 'Konnarock', '``', ',', '``', 'Whitetop', 'Mountain', '``', 'and', '``', 'Park', ""''"", '.']","[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0]"
79675,"['Together', 'with', 'Royal', 'Robbins', 'he', 'made', 'the', 'first', 'ascent', 'of', 'the', 'American', 'Direct', 'route', 'on', 'the', 'Aiguille', 'du', 'Dru', 'in', 'Chamonix', 'in', '1962', ',', 'and', 'was', 'widely', 'known', 'in', 'France', 'for', 'his', 'role', 'as', 'a', 'rescuer', 'of', 'a', 'party', 'on', 'the', 'same', 'mountain', 'in', '1966', ',', 'earning', 'him', 'the', 'moniker', '``', 'le', 'beatnik', 'des', 'cimes', ""''"", '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
21408,"['This', 'action', 'came', 'shortly', 'before', 'the', 'Battle', 'of', 'Amberg', 'when', 'Archduke', 'Charles', 're-assumed', 'command', 'of', 'the', 'army', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
110713,"['Thailand', ""'s"", 'first', 'rambutan', 'trees', 'were', 'planted', 'in', 'Ban', 'Na', 'San', 'in', '1926', 'by', 'the', 'Chinese', 'Malay', 'K.', 'Vong', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
